Comment,Designator,Footprint,LCSC,Quantity
R,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,1
SW_Push,SW3,SW_Cherry_MX_1.00u_PCB,,1
R,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,1
L08R5000Q1,D2,LEDRD254W57D500H1070,,1
SW_Push,SW4,SW_Cherry_MX_1.00u_PCB,,1
L08R5000Q1,D4,LEDRD254W57D500H1070,,1
R,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,1
XIAO-RP2040-DIP,U1,XIAO-RP2040-DIP,,1
SW_Push,SW2,SW_Cherry_MX_1.00u_PCB,,1
SW_Push,SW1,SW_Cherry_MX_1.00u_PCB,,1
R,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,1
L08R5000Q1,D3,LEDRD254W57D500H1070,,1
L08R5000Q1,D1,LEDRD254W57D500H1070,,1
