Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,L08R5000Q1,LEDRD254W57D500H1070,96.43,-98.0,0.0,top
D2,L08R5000Q1,LEDRD254W57D500H1070,115.77,-97.8,0.0,top
D3,L08R5000Q1,LEDRD254W57D500H1070,135.17,-97.6,0.0,top
D4,L08R5000Q1,LEDRD254W57D500H1070,153.93,-97.8,0.0,top
R1,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,105.1,-100.4,-90.0,top
R2,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,123.54,-100.26,-90.0,top
R3,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,142.74,-100.16,-90.0,top
R4,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,162.1,-100.36,-90.0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,99.08,-112.41,0.0,top
SW2,SW_Push,SW_Cherry_MX_1.00u_PCB,118.12,-112.41,0.0,top
SW3,SW_Push,SW_Cherry_MX_1.00u_PCB,137.22,-112.41,0.0,top
SW4,SW_Push,SW_Cherry_MX_1.00u_PCB,156.32,-112.41,0.0,top
U1,XIAO-RP2040-DIP,XIAO-RP2040-DIP,178.68,-108.02,0.0,top
